2023-12-08 14:34:44,896 INFO    StreamThr :4227 [internal.py:wandb_internal():86] W&B internal server running at pid: 4227, started at: 2023-12-08 14:34:44.895970
2023-12-08 14:34:44,897 DEBUG   HandlerThread:4227 [handler.py:handle_request():146] handle_request: status
2023-12-08 14:34:44,897 INFO    WriterThread:4227 [datastore.py:open_for_write():85] open: /Users/simonmenzi/Documents/RW/7. Semester/Bachelor Thesis/MyNEMPython/wandb/run-20231208_143444-neud7nji/run-neud7nji.wandb
2023-12-08 14:34:44,898 DEBUG   SenderThread:4227 [sender.py:send():380] send: header
2023-12-08 14:34:44,908 DEBUG   SenderThread:4227 [sender.py:send():380] send: run
2023-12-08 14:34:45,343 INFO    SenderThread:4227 [dir_watcher.py:__init__():211] watching files in: /Users/simonmenzi/Documents/RW/7. Semester/Bachelor Thesis/MyNEMPython/wandb/run-20231208_143444-neud7nji/files
2023-12-08 14:34:45,344 INFO    SenderThread:4227 [sender.py:_start_run_threads():1124] run started: neud7nji with start time 1702042484.895995
2023-12-08 14:34:45,354 DEBUG   HandlerThread:4227 [handler.py:handle_request():146] handle_request: check_version
2023-12-08 14:34:45,354 DEBUG   SenderThread:4227 [sender.py:send_request():407] send_request: check_version
2023-12-08 14:34:45,509 DEBUG   HandlerThread:4227 [handler.py:handle_request():146] handle_request: run_start
2023-12-08 14:34:45,521 DEBUG   HandlerThread:4227 [system_info.py:__init__():32] System info init
2023-12-08 14:34:45,521 DEBUG   HandlerThread:4227 [system_info.py:__init__():47] System info init done
2023-12-08 14:34:45,521 INFO    HandlerThread:4227 [system_monitor.py:start():194] Starting system monitor
2023-12-08 14:34:45,521 INFO    SystemMonitor:4227 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-12-08 14:34:45,521 INFO    HandlerThread:4227 [system_monitor.py:probe():214] Collecting system info
2023-12-08 14:34:45,522 DEBUG   HandlerThread:4227 [system_info.py:probe():196] Probing system
2023-12-08 14:34:45,522 INFO    SystemMonitor:4227 [interfaces.py:start():190] Started cpu monitoring
