15,90
6,12
3,10
5,13
3,13
5,10
9,14
1,6
2,5
2,11
1,3
1,9
0,11
0,14
1,12
2,8
2,14
6,14
3,9
3,6
3,12
4,14
4,11
0,7
0,4
0,10
1,5
10,14
0,13
2,10
1,8
1,14
2,13
4,7
4,10
3,14
4,13
5,8
5,14
0,9
10,13
0,6
2,3
2,9
1,7
0,12
2,6
1,13
1,10
2,12
6,9
7,14
1,8,14,13,6,8,11,11,11,14,1,6,4,7,9,10,9,6,3,10,10,3,10,9,12,2,6,10,10,9,8,7,5,4,0,11,3,14,7,9,13,2,12,13,5,14,1,11,11,6,13,12,4,8,3,12,10,6,12,12,9,9,14,1,12,12,8,3,13,9,7,13,13,4,14,3,11,0,9,2,6,10,0,0,13,11,12,7,7,14
0.05,0.08
