2023-11-30 09:48:27,378 INFO    StreamThr :3449 [internal.py:wandb_internal():86] W&B internal server running at pid: 3449, started at: 2023-11-30 09:48:27.377712
2023-11-30 09:48:27,378 DEBUG   HandlerThread:3449 [handler.py:handle_request():146] handle_request: status
2023-11-30 09:48:27,379 INFO    WriterThread:3449 [datastore.py:open_for_write():85] open: /Users/simonmenzi/Documents/RW/7. Semester/Bachelor Thesis/MyNEMPython/wandb/run-20231130_094827-7l85jek6/run-7l85jek6.wandb
2023-11-30 09:48:27,380 DEBUG   SenderThread:3449 [sender.py:send():380] send: header
2023-11-30 09:48:27,390 DEBUG   SenderThread:3449 [sender.py:send():380] send: run
2023-11-30 09:48:28,151 INFO    SenderThread:3449 [dir_watcher.py:__init__():211] watching files in: /Users/simonmenzi/Documents/RW/7. Semester/Bachelor Thesis/MyNEMPython/wandb/run-20231130_094827-7l85jek6/files
2023-11-30 09:48:28,151 INFO    SenderThread:3449 [sender.py:_start_run_threads():1124] run started: 7l85jek6 with start time 1701334107.377671
2023-11-30 09:48:28,162 DEBUG   HandlerThread:3449 [handler.py:handle_request():146] handle_request: check_version
2023-11-30 09:48:28,162 DEBUG   SenderThread:3449 [sender.py:send_request():407] send_request: check_version
2023-11-30 09:48:28,417 DEBUG   HandlerThread:3449 [handler.py:handle_request():146] handle_request: run_start
2023-11-30 09:48:28,426 DEBUG   HandlerThread:3449 [system_info.py:__init__():32] System info init
2023-11-30 09:48:28,426 DEBUG   HandlerThread:3449 [system_info.py:__init__():47] System info init done
2023-11-30 09:48:28,426 INFO    HandlerThread:3449 [system_monitor.py:start():194] Starting system monitor
2023-11-30 09:48:28,427 INFO    SystemMonitor:3449 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-11-30 09:48:28,427 INFO    HandlerThread:3449 [system_monitor.py:probe():214] Collecting system info
2023-11-30 09:48:28,428 DEBUG   HandlerThread:3449 [system_info.py:probe():196] Probing system
2023-11-30 09:48:28,428 INFO    SystemMonitor:3449 [interfaces.py:start():190] Started cpu monitoring
2023-11-30 09:48:28,429 INFO    SystemMonitor:3449 [interfaces.py:start():190] Started disk monitoring
2023-11-30 09:48:28,429 INFO    SystemMonitor:3449 [interfaces.py:start():190] Started gpuapple monitoring
2023-11-30 09:48:28,432 INFO    SystemMonitor:3449 [interfaces.py:start():190] Started memory monitoring
2023-11-30 09:48:28,433 INFO    SystemMonitor:3449 [interfaces.py:start():190] Started network monitoring
2023-11-30 09:48:28,438 DEBUG   HandlerThread:3449 [system_info.py:_probe_git():181] Probing git
2023-11-30 09:48:28,454 DEBUG   HandlerThread:3449 [system_info.py:_probe_git():189] Probing git done
2023-11-30 09:48:28,454 DEBUG   HandlerThread:3449 [system_info.py:probe():244] Probing system done
