18,157
12,16
4,6
4,15
8,12
2,5
2,11
2,14
13,17
6,11
15,17
3,9
4,14
10,11
0,10
2,7
11,16
10,17
13,16
2,13
3,5
3,11
3,8
3,14
12,17
4,13
0,3
5,17
9,15
0,12
1,7
0,15
2,12
1,10
1,16
2,16,11,7,11,2,1,8,12,11,17,4,16,0,17,12,13,16,9,14,16,15,2,8,15,16,17,0,9,3,16,5,4,1,17,10,12,4,10,15,6,6,1,16,6,9,6,0,5,1,4,8,4,8,5,1,17,3,12,16,0,17,9,5,13,4,14,7,5,15,3,17,8,2,6,9,17,9,10,12,1,6,2,7,12,11,12,14,7,11,15,15,7,17,5,5,4,16,6,11,9,4,7,5,2,3,10,0,13,2,1,15,5,7,11,0,5,1,6,4,4,1,10,7,0,10,17,17,13,17,1,13,11,13,9,6,1,14,3,2,8,6,7,3,9,4,11,3,6,4,0,0,5,1,15,2,11
0.05,0.08
