19,204
6,15
14,16
5,13
4,15
5,10
9,17
11,14
2,11
8,15
0,11
0,14
1,18
1,15
0,18
5,6
4,8
4,17
12,18
5,12
8,17
11,16
0,16
0,13
2,10
1,8
1,17
6,13
6,10
3,17
5,14
1,13
11,15
0,15
1,10
7,14
12,13
5,16
4,18
9,14
1,6
0,17
10,15
2,14
7,16
6,14
4,14
5,9
5,18
9,16
5,15
0,10
2,7
2,16
1,14
2,13
6,16
4,7
4,16
12,17
5,11
4,13
5,17
1,7
2,6
2,18
1,16
11,18
2,15
3,3,2,5,14,14,2,16,4,16,12,15,7,16,17,3,10,7,1,7,5,10,4,14,4,0,11,7,15,9,11,0,17,4,17,9,5,12,3,7,7,7,17,5,18,9,12,2,16,13,17,1,0,6,10,17,4,18,5,10,16,17,10,7,4,18,15,3,1,6,12,7,6,1,14,18,5,9,12,7,13,12,7,17,12,0,3,15,17,2,12,13,16,18,17,13,16,0,15,2,8,4,6,2,7,18,0,17,11,3,4,7,10,4,17,2,17,17,17,15,4,1,7,14,16,2,18,0,8,17,4,8,2,2,4,1,1,11,9,0,3,4,2,4,18,11,15,18,4,10,13,13,6,13,7,2,15,1,6,3,6,16,3,17,14,18,13,15,5,17,7,6,1,18,10,0,4,10,0,1,9,5,11,13,18,12,0,18,7,8,8,2,11,4,17,2,11,1,16,13,5,4,8,9
0.05,0.08
