13,126
3,7
4,12
3,10
5,10
8,9
1,6
0,8
2,5
1,3
2,11
1,9
2,8
0,11
1,12
7,10
3,9
3,6
3,12
5,12
8,11
0,7
2,4
0,10
2,7
1,11
2,10
1,8
7,12
4,7
3,11
4,10
3,8
8,10
0,9
1,4
0,12
2,9
1,7
2,6
2,12
1,10
6,9
7,0,12,3,6,5,2,4,3,11,3,12,10,5,3,3,4,3,9,6,8,7,6,4,7,9,0,1,5,2,7,10,12,1,1,9,6,1,5,2,1,4,3,6,8,10,11,9,4,9,11,9,10,6,11,0,8,5,2,1,11,5,0,12,2,6,0,6,11,4,2,10,10,3,3,4,1,10,12,11,1,11,3,0,5,11,4,11,11,11,11,10,3,2,4,0,9,2,6,11,0,10,10,6,4,11,5,10,3,2,2,0,10,7,6,10,3,1,8,3,12,3,11,3,11,7
0.05,0.1
