18,29
7,17
6,15
3,7
3,16
5,13
4,15
3,13
9,17
8,15
2,11
1,9
10,12
2,8
0,14
0,11
2,17
1,15
6,11
6,17
4,8
4,17
3,15
5,12
8,17
10,14
1,11
0,16
0,13
1,17
6,13
7,12
3,11
3,8
3,17
5,14
0,9
0,6
10,16
11,15
0,15
2,12
4,12
5,7
5,16
9,11
2,5
0,17
10,15
1,12
2,14
11,17
15,17
7,13
3,12
5,15
10,11
0,10
2,7
10,17
1,14
2,16
2,13
7,15
3,5
4,16
3,14
5,11
4,13
5,17
8,16
9,15
8,13
2,9
0,12
1,16
2,15
7,11
15,16,9,8,6,11,0,1,14,3,7,10,1,13,5,4,0,4,12,15,1,7,4,3,16,11,9,5,8
0.05,0.08
